run_accession,db,db_version,kma_version,run_date,total_readfragmentCount,refSequence,readCount,fragmentCount,mapScoreSum,refCoveredPositions,refConsensusSum,bpTotal,depthVariance,nucHighDepthVariance,depthMax,snpSum,insertSum,deletionSum,readCountAln,fragmentCountAln
ERR056997,resfinder,20230206,1.4.7,2023-02-07,149845,aph(3')-Ia_1_V00359,1,1,384,393,392,393,0.249662,0,1,1,0,2,1,1
ERR056997,resfinder,20230206,1.4.7,2023-02-07,149845,blaTEM-105_1_AF516720,4,4,223,223,223,223,0.19192,0,1,0,0,0,1,1
ERR056997,resfinder,20230206,1.4.7,2023-02-07,149845,OqxB_1_EU370913,29,29,511,532,525,532,0.140259,0,1,7,0,0,1,1
ERR056997,resfinder,20230206,1.4.7,2023-02-07,149845,tet(40)_1_FJ158002,10,10,902,462,460,914,1.17757,0,3,4,0,0,4,4
ERR056997,resfinder,20230206,1.4.7,2023-02-07,149845,tet(C)_1_NC_003123,1,1,225,240,236,240,0.160905,0,1,1,3,0,1,1
ERR056997,resfinder,20230206,1.4.7,2023-02-07,149845,tet(C)_2_AY046276,1,1,457,473,469,473,0.240437,0,1,3,1,1,1,1
ERR056997,resfinder,20230206,1.4.7,2023-02-07,149845,tet(C)_3_AF055345,25,25,5489,1192,1186,5615,6.41557,0,10,22,9,7,17,17
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,ant(6)-Ia_1_AF330699,3,3,183,183,183,183,0.16079,0,1,0,0,0,2,2
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,ant(6)-Ia_3_KF864551,11,11,813,583,583,813,0.623572,0,3,0,0,0,9,9
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,ant(6)-Ib_1_FN594949,4,4,115,115,115,115,0.116068,0,1,0,0,0,2,2
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,aph(3')-IIIa_1_AF330699,3,3,122,122,122,122,0.129909,0,1,0,0,0,2,2
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,aph(6)-Id_4_CP000971,1,1,91,91,91,91,0.097515,0,1,0,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,cfxA6_1_GQ342996,11,11,318,288,288,321,0.284684,33,2,1,0,0,4,4
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,erm(B)_22_X52632,1,1,95,95,95,95,0.112546,0,1,0,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,erm(B)_7_AF368302,1,1,92,95,94,95,0.115762,0,1,1,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,erm(G)_1_M15332,1,1,95,95,95,95,0.112546,0,1,0,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,lnu(C)_1_AY928180,7,7,403,325,319,448,0.599065,0,3,15,0,0,6,6
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,mef(A)_1_AJ971089,2,2,166,118,114,190,0.249886,72,2,8,0,0,2,2
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,mef(A)_2_U83667,3,3,155,164,161,164,0.116517,0,1,3,0,0,2,2
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,mef(A)_3_AF227520,70,70,5743,489,471,6132,95.7115,34,39,127,3,0,70,70
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,mef(A)_4_HG423652,12,12,741,251,242,854,3.80724,85,8,36,3,0,10,10
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,msr(D)_2_AF274302,4,4,166,190,182,190,0.112938,0,1,8,0,0,2,2
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,msr(D)_3_AF227520,1,1,92,95,94,95,0.06068,95,1,1,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,nimB_1_X71443,1,1,45,72,63,72,0.124298,0,1,9,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,nimH_1_KX576455,2,2,59,95,83,95,0.164399,0,1,12,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(32)_1_EU722333,3,3,38,71,60,71,0.035612,71,1,11,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(33)_1_AY255627,2,2,95,95,95,95,0.07159,95,1,0,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(40)_1_FJ158002,15,15,1059,833,829,1083,0.580183,0,3,8,0,0,14,14
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(44)_1_NZ_ABDU01000081,19,19,756,698,685,801,0.350158,0,2,11,4,0,10,10
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(44)_2_FN594949,7,7,383,404,397,404,0.165951,0,1,7,0,0,5,5
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(L)_1_HM235948,3,3,89,89,89,89,0.060212,89,1,0,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(L)_2_M29725,5,5,338,161,161,338,0.56139,82,3,0,0,0,4,4
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(O)_2_M20925,4,4,297,282,277,315,0.171521,33,2,6,0,0,4,4
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(O/32/O)_3_NZ_AUJS01000017,10,10,913,512,512,922,0.942317,71,4,3,0,0,10,10
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(O/32/O)_6_NG_048124,3,3,62,62,62,62,0.02839,62,1,0,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(O/W)_1_AM889118,17,17,1415,830,829,1424,1.04528,40,4,3,0,0,16,16
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(O/W)-2_1_AY485122,6,6,463,370,368,469,0.291894,95,3,2,0,0,6,6
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(O/W/32/O)_2_FM164392,2,2,189,160,160,189,0.118956,29,2,0,0,0,2,2
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(Q)_1_L33696,42,42,3376,1531,1528,3415,2.78808,46,8,13,0,0,39,39
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(Q)_2_X58717,21,21,1806,952,951,1827,1.39248,0,4,7,0,0,21,21
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(Q)_3_U73497,3,3,83,95,92,95,0.046009,96,1,3,0,1,2,2
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(Q)_4_Z21523,4,4,232,247,242,247,0.111798,0,1,5,0,0,3,3
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(W)_2_AY049983,3,3,217,188,185,229,0.147754,41,2,4,0,0,3,3
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(W)_4_FN396364,10,10,753,395,395,753,0.839418,45,4,0,0,0,9,9
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(W)_5_AJ427422,51,51,4013,1593,1592,4064,2.64785,0,6,17,0,0,51,51
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(W/32/O)_2_AM710602,12,12,891,578,578,891,0.645583,68,3,0,0,0,10,10
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(W/32/O)_3_AM710603,1,1,79,79,79,79,0.039453,79,1,0,0,0,1,1
ERR1135612,resfinder,20230206,1.4.7,2023-02-07,317682,tet(X4)_1_MK134376,6,6,285,122,122,285,0.584506,68,3,0,0,0,3,3
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aac(2')-Ib_1_U41471,2296,2296,340,206,178,547,2.07167,0,5,69,0,0,6,6
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aac(2')-Ic_1_U72714,1606,1606,81,65,60,107,0.311412,42,2,7,0,3,2,2
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aac(3)-IIb_1_M97172,2725,2725,17,17,17,17,0.020547,17,1,0,0,0,1,1
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aac(3)-IIIb_1_L06160,4808,4808,17,17,17,17,0.022505,17,1,0,0,0,1,1
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aac(3)-VIII_1_AB211959,10991,10991,37,43,41,43,0.047292,43,1,2,0,0,2,2
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aac(3)-VIIIa_1_M55426,1300,1300,17,17,17,17,0.019355,17,1,0,0,0,1,1
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aac(3)-Xa_1_AB028210,7362,7362,17,17,17,17,0.019488,17,1,0,0,0,1,1
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aadA11_1_AY144590,701,701,2349,58,55,2616,173.646,34,72,69,26,6,72,72
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aadA6_1_AF140629,283,283,742,56,52,884,19.7829,31,25,38,12,1,25,25
ERR1884262,resfinder,20230206,1.4.7,2023-02-07,131474887,aph(3')-IIc_1_AM743169,3208,3208,16,19,18,19,0.022824,19,1,1,0,0,1,1
